customer_id,first_name,last_name,email,phone,country,city,postcode,created_at,marketing_opt_in,customer_segment,lifetime_value,repeat_customer
50,Melissa,Curtis,russellbeasley@example.com,376-361-5654x52711,Jersey,Lake Joanneberg,73425,07-07-2022 01:01,0,Retail,13483.62,0
51,Brenda,Hoffman,elizabeth65@example.net,001-360-749-4519x83273,Tanzania,Dannyview,75749,18-01-2022 22:11,1,SMB,14577.86,0
52,Lindsay,Bruce,lynchdiane@example.net,302-444-5502x296,Saint Vincent and the Grenadines,North Julieborough,49809,19-06-2023 05:19,1,Retail,3844.67,0
53,Shawn,Moore,jennifer99@example.org,9229901476,Israel,Jasonhaven,15419,09-02-2025 22:40,0,SMB,9279.43,0
54,Russell,Campbell,trose@example.org,669.600.3432,Greece,North Tylerchester,23529,22-06-2024 23:38,1,Enterprise,2003.28,0
55,Omar,Padilla,charles06@example.org,715.496.9664x160,Spain,Collierstad,12052,21-08-2022 22:28,0,Retail,19381.48,0
56,Megan,Sanchez,zwarren@example.com,001-453-552-1818x8355,Bosnia and Herzegovina,West James,79458,03-04-2025 09:16,0,Retail,8157.96,0
57,Kathleen,Rios,stephanieburton@example.com,001-699-279-9552x71774,Guinea,West Steventon,7957,03-11-2022 12:29,0,Retail,3334.51,1
58,Marie,Jones,gilbertwilliam@example.com,001-480-279-3597,Korea,Port Rachelmouth,94127,04-09-2024 04:45,1,SMB,5740.72,0
59,William,Thompson,jasmineritter@example.net,392.855.4665x90515,Finland,Jenniferberg,44195,04-04-2022 13:43,0,Enterprise,13254.33,0
60,Brandi,Thomas,kyle62@example.net,001-214-786-5281x685,Georgia,East Matthew,64237,26-03-2022 18:55,1,Retail,19375.75,0
61,Jeremy,Taylor,phillipskristin@example.net,001-988-205-9296x22292,Isle of Man,Ericabury,58723,05-03-2023 02:38,0,Enterprise,6306.42,1
62,Karen,Bowers,amandacollins@example.com,859.477.4688,Svalbard & Jan Mayen Islands,Port Cassandra,33269,18-12-2023 19:27,0,Enterprise,3190.78,0
63,Danielle,Sawyer,dawsonzachary@example.org,812-247-8261x3750,Indonesia,Joeland,49641,25-12-2021 16:29,1,Retail,1417,1
64,Anthony,Galvan,lacey20@example.com,827.379.0104x3289,Singapore,Johnville,6759,14-06-2023 04:30,0,SMB,2441.74,0
65,Robert,Bauer,fbrown@example.net,-3760,Montserrat,Lopezland,69115,27-07-2023 09:01,1,Enterprise,842.85,1
66,Carlos,Fox,myerstheodore@example.net,(754)705-1531x9520,Suriname,Port Kimberly,61400,09-08-2024 22:15,0,Enterprise,10479.52,0
67,Crystal,Cain,baldwinsherry@example.org,530-630-5486x8740,Guinea-Bissau,Port Dianaview,16816,11-08-2025 07:33,1,Enterprise,6317.97,1
68,Samuel,Ross,ykline@example.com,(877)458-4161,Mayotte,Manuelland,43482,01-09-2024 23:11,1,Enterprise,6034.94,1
69,Kirk,Morrison,cjackson@example.com,205.496.4016x582,Thailand,Johnsonland,31433,21-01-2024 02:12,0,Retail,235.84,0
70,Michael,Herring,jacobserika@example.com,(271)492-8565x431,Luxembourg,Mcintyreville,34812,27-08-2024 17:07,0,Retail,1511.55,1
71,Jane,Lewis,heather73@example.org,(617)627-1551,Thailand,Lake Jenna,92280,03-10-2023 06:18,1,SMB,17623.24,0
72,Laura,Hicks,gallowaylaura@example.org,805.989.5782x9114,Malta,Hammondshire,10167,08-01-2023 10:51,1,Retail,8791.78,0
73,Teresa,Day,howens@example.com,(489)622-6801,Chad,West Sarah,30053,09-08-2022 22:43,1,Enterprise,10602.37,0
74,Stacey,Stone,meghan43@example.net,-9072,Palestinian Territory,Meganshire,5900,25-06-2024 15:02,0,Enterprise,2116.55,0
75,Christopher,Fry,debra96@example.net,+1-407-984-4736x4710,Israel,Marshallmouth,80017,12-10-2021 17:22,1,Retail,14861.21,1
76,Larry,Higgins,theresa25@example.net,-2224,Australia,Soniachester,33042,05-10-2022 22:24,1,Retail,14366.36,1
77,Lisa,Peck,james27@example.net,774.270.1687x339,Australia,Troyfort,37954,24-11-2022 17:45,0,SMB,10132.91,1
78,Alan,Rodriguez,nicoleluna@example.com,(906)609-8358x416,Sweden,East Theresafurt,49416,08-02-2026 00:15,0,Retail,1891.35,0
79,Angela,Diaz,jameshicks@example.net,4007257872,Venezuela,Franciscoport,78321,04-06-2024 01:43,1,Retail,6704.45,1
80,William,Hicks,terickson@example.com,9556169409,Palau,Lake Brett,63474,26-05-2024 15:30,0,Retail,14837.56,0
81,Alexandria,Griffith,rhernandez@example.org,8915307562,Isle of Man,Salaston,93008,28-12-2022 07:59,0,Retail,2281.88,0
82,April,Hoffman,ufox@example.org,685.585.4973x348,Western Sahara,Kellieborough,90972,18-09-2022 13:51,0,Retail,10934.53,0
83,Logan,Bailey,keith98@example.com,(652)640-4157x4733,Burundi,New Joycebury,32280,12-09-2025 20:24,0,Retail,8624.24,1
84,Elizabeth,Schmidt,briangutierrez@example.net,212.308.2677x3454,Pakistan,New Joanne,5389,21-12-2021 07:01,1,Retail,17983.55,1
85,Robert,Monroe,osbornrandy@example.com,(640)904-9915,Norway,Smallberg,66589,11-01-2023 11:27,1,Retail,7105.89,0
86,Joshua,Lamb,francisco74@example.net,(805)749-3296,Benin,Caldwellburgh,18931,09-07-2025 15:50,0,Enterprise,15002.08,0
87,Marcus,Wright,patrick74@example.com,699-304-5301x7426,Northern Mariana Islands,Michaelbury,29222,07-08-2025 23:14,1,Retail,19525.31,0
88,Timothy,Gibson,robert87@example.net,+1-533-491-8785x19108,Chad,Melissamouth,15736,04-09-2022 13:17,0,Retail,3628.25,0
89,Jennifer,Burns,dstokes@example.org,367.290.8740x64039,Jamaica,Isabellaside,8398,15-04-2023 17:32,0,SMB,16054.59,0
90,Valerie,Kennedy,robert26@example.com,(476)561-8251x2868,Syrian Arab Republic,Port Andrewport,61187,16-02-2022 00:07,0,SMB,3226,0
91,Roger,Gray,johnreed@example.com,310.269.0331,Kiribati,East Joyfurt,58036,04-03-2026 02:28,1,Retail,17178.94,1
92,Amber,Webster,taylorvictoria@example.org,001-695-299-5342x8364,Moldova,Lake Erika,73357,14-07-2023 15:17,0,SMB,7025.69,0
93,Brandon,Cooper,ufloyd@example.net,(862)846-2873x34270,Moldova,South John,27152,03-10-2025 09:51,0,Retail,522.11,1
94,Deborah,Nielsen,christopher30@example.com,(299)501-3983x7354,Vietnam,Lake David,99372,07-05-2024 15:52,1,Retail,19339.44,1
95,Robin,Dominguez,randyallen@example.com,001-746-578-5445x87717,Heard Island and McDonald Islands,Robertshire,29503,12-08-2025 12:37,0,SMB,13606.39,0
96,Allen,Tran,mphillips@example.com,969.937.8547,Chile,Garyside,64505,12-10-2022 22:28,1,Retail,2351.07,0
97,Sabrina,Weaver,warrenmary@example.org,+1-900-962-3120x38750,Andorra,New Andreatown,2693,08-02-2023 09:17,1,SMB,813.23,0
98,Jennifer,Nichols,andre62@example.org,682-833-9845,Belgium,Susanmouth,74556,16-01-2026 09:55,1,SMB,8756.06,0
99,Veronica,Perez,valdezmichele@example.org,366-968-7002,Tanzania,Newmanmouth,74668,11-08-2023 04:35,1,Enterprise,3842.07,1
100,Patricia,Ellison,jasonparrish@example.net,440.814.8902x5039,Vanuatu,West Franciscobury,74778,08-05-2022 20:22,0,Enterprise,18515.22,0
101,Erica,Fernandez,icampos@example.net,001-818-750-1631x5999,Antarctica (the territory South of 60 deg S),Kristenmouth,64805,06-11-2024 15:18,0,Enterprise,14753.9,1
102,Michael,Pugh,llopez@example.net,(719)343-1142x6265,Bermuda,West Seanview,13900,25-06-2023 08:55,0,Enterprise,18419.38,0
103,Christopher,Jordan,fgarcia@example.com,-7259,Saint Kitts and Nevis,New Adriana,90326,01-09-2022 06:07,0,Retail,14409.1,1
104,Gavin,Adams,trevor12@example.com,964-371-5437x993,Burkina Faso,Adamfurt,44045,11-10-2024 11:07,1,SMB,6557.35,0
105,Linda,Rivera,ryan92@example.com,693-875-2654x79356,Haiti,New Jamesside,24084,08-10-2024 20:20,0,Retail,8437.9,0
106,Anthony,Acosta,samuelcarter@example.net,867-324-3426,Kiribati,Aguilarside,66903,21-03-2026 16:03,0,Retail,12329.52,1
107,Amy,Gibbs,jacqueline89@example.net,713-852-9096,Botswana,North Jonathanhaven,98392,05-02-2025 04:26,0,Retail,6112.31,1
108,Angela,Watts,seanmyers@example.net,001-382-350-7146,Switzerland,West Larry,60182,14-12-2025 10:03,0,Enterprise,13111.38,0
109,Adriana,Bailey,kimheather@example.com,440-410-5123,Greenland,Mullenbury,53591,20-04-2023 06:50,0,Retail,10247.92,0
110,Jacob,Sandoval,njohnson@example.org,496.760.3341x918,Greece,South Daniel,88411,09-02-2023 15:24,0,Enterprise,3435.34,1
111,Allison,Fowler,lcarr@example.org,(557)692-4991x251,Brazil,West Heather,67455,14-09-2025 08:15,0,Enterprise,12404.25,1
112,Robert,Taylor,fhenderson@example.net,-5379,Tonga,Stephaniefort,18396,04-11-2024 11:36,0,Retail,13472.27,1
113,Lisa,Maynard,fortiz@example.com,001-677-421-9034x043,Slovakia (Slovak Republic),Cunninghamfort,72554,14-03-2023 19:31,1,Retail,971.96,0
114,Daniel,Wilson,amber07@example.net,361.934.0745,Tonga,Port Lisaborough,97181,19-11-2025 14:08,0,Retail,9135.55,0
115,Michelle,Bishop,imartin@example.org,709.658.4982,French Guiana,Stephaniehaven,89538,09-07-2024 22:37,0,Enterprise,13942.27,0
116,Derek,Brady,rsellers@example.net,(623)825-3672,Honduras,Jonesland,53303,08-05-2022 10:11,1,Enterprise,13768.07,0
117,Kara,Neal,shawn75@example.net,5179518636,Ethiopia,Mariamouth,72238,04-12-2025 12:36,0,Retail,15579.49,1
118,David,Phelps,patricia00@example.org,+1-670-312-7706x3242,Palau,Johnstad,87599,16-06-2026 03:32,0,Enterprise,10383.26,1
119,Brett,Garrett,rubendavis@example.org,2372129387,Qatar,Lisachester,91469,12-12-2022 20:08,1,Retail,9156.41,0
120,Tim,Perez,crosscurtis@example.com,(942)762-2189x092,Saint Helena,Lake Kaitlin,54464,31-08-2022 05:22,0,Enterprise,11929.27,0
121,Michelle,Miller,taylordavid@example.net,(656)252-3413x8999,Thailand,Jamiehaven,25227,21-04-2025 00:13,0,Enterprise,16309.38,0
122,Kenneth,Brown,troyrodriguez@example.com,+1-491-980-5526x9658,Zimbabwe,North Brendatown,34866,14-11-2024 16:45,0,Enterprise,8945.98,1
123,Bill,Brown,ohunter@example.net,566.461.8892x41418,Mauritania,Peterland,41155,17-05-2023 20:38,0,SMB,5220.87,1
124,Jessica,Mathis,sanchezsandy@example.org,799.604.2102x027,Chad,Davidview,96568,05-04-2025 19:00,0,Enterprise,9717.71,1
125,Kelsey,Johnson,enelson@example.com,001-491-677-8507x925,Sierra Leone,New Emilyville,30438,18-07-2022 08:38,0,Enterprise,5750.28,1
126,Aaron,Trevino,sanchezthomas@example.com,(720)686-3536,Sweden,New Nathanhaven,88755,13-11-2025 10:25,1,Enterprise,1657.52,1
127,Harry,Brock,finleycasey@example.com,545-918-7053x4949,Heard Island and McDonald Islands,Cuevasborough,96506,27-12-2021 05:12,1,Retail,14143.06,1
128,Kathleen,Sanchez,randolphandrew@example.net,(205)406-4138x367,Rwanda,Christopherbury,68626,10-03-2026 16:05,0,Enterprise,9345.19,1
129,Jaclyn,Watson,carpenterwilliam@example.net,(719)990-6234x4565,Faroe Islands,North Sherry,18341,19-01-2025 21:26,0,SMB,18101.53,0
130,Daniel,Garcia,aowens@example.org,-8537,Sweden,East Marymouth,19942,07-07-2026 04:40,0,Enterprise,7638.6,1
131,Jennifer,Schmitt,rpalmer@example.com,320-267-8831x712,Bahamas,East James,53006,25-04-2022 23:00,1,SMB,17076.29,0
132,Gina,Pace,aguilarjonathan@example.org,9132721510,Chile,Underwoodfurt,65529,15-09-2024 01:53,0,Enterprise,14705.95,0
133,Patrick,Simmons,jason24@example.com,220.399.9347x687,Fiji,Taylorborough,84734,16-10-2021 04:02,0,SMB,4427.46,0
134,John,Mcknight,mayokimberly@example.com,587.259.8564x2059,Ukraine,Brianfort,69894,05-01-2026 05:13,1,SMB,13394.03,0
135,Katie,Key,craigsandoval@example.com,-6721,United States Minor Outlying Islands,Lake Jackieshire,74374,31-07-2024 01:49,0,SMB,18394.86,0
136,Anna,Lopez,lweaver@example.com,2107393087,United States Virgin Islands,Port David,94471,01-10-2022 01:36,0,SMB,11858.26,0
137,Samantha,Richard,brian29@example.net,(718)651-5691,Gibraltar,East Jessica,57762,18-01-2023 22:03,1,SMB,2757.2,0
138,Debra,Thompson,jeffrey92@example.com,542-320-9690x2959,Vietnam,Taylorland,31695,07-09-2025 05:57,1,SMB,6580.69,0
139,Toni,Jackson,underwoodelizabeth@example.net,870-443-3154x10067,Turks and Caicos Islands,Snyderfurt,46537,28-06-2024 01:43,1,SMB,5601.22,0
140,Nicholas,Poole,franciscojones@example.org,705-941-1526x2181,Romania,South Sherriburgh,80103,09-03-2026 00:11,0,Retail,9432.62,0
141,Eric,Garcia,terriortiz@example.net,001-284-744-3106x9872,Afghanistan,Millerfort,26672,26-03-2025 14:00,1,SMB,4523.23,1
142,Anthony,Jackson,tiffany71@example.com,(277)641-8625x6527,Kazakhstan,Bakerview,74457,13-05-2022 21:33,0,Retail,15096.95,0
143,Edward,Horton,millermaurice@example.net,(393)880-6868x79374,United Kingdom,New Ashleyhaven,75406,24-01-2022 01:51,1,Retail,12445.65,1
144,David,Todd,stacyjackson@example.org,620.761.6329,United States Minor Outlying Islands,North Paulfurt,72859,17-10-2022 16:10,0,Retail,11301.19,1
145,Melissa,Stone,buchanancindy@example.net,(716)822-9991x19148,Estonia,Penashire,80318,24-04-2024 19:27,0,SMB,3397.39,0
146,Benjamin,Hill,christinebecker@example.com,7656307450,Georgia,Meganville,30379,25-07-2025 06:36,0,Retail,15566.95,1
147,Kevin,Manning,joseph69@example.net,437-336-7850,Georgia,Taylorhaven,75038,07-09-2022 02:11,1,Enterprise,562.28,1
148,Glenn,Golden,marywright@example.com,2535457861,Holy See (Vatican City State),Wheelerburgh,62705,14-10-2021 12:13,0,SMB,7963.26,0
149,Andrea,Cooper,kaitlyn14@example.org,(902)493-3334x6800,Oman,New Lauren,29830,13-07-2026 22:39,1,Enterprise,16619.9,1
150,Charlene,Hahn,rodney65@example.com,637-648-9691x085,Poland,South Calebview,84465,08-09-2023 17:17,0,SMB,17013.35,0
151,Michelle,Green,jacob83@example.org,+1-565-720-7446x660,Saint Kitts and Nevis,Lake Amanda,62856,21-04-2024 17:39,1,Enterprise,15663.58,1
152,William,Bruce,kellyruiz@example.net,682-651-3534x655,Kyrgyz Republic,South Brianshire,76563,03-08-2024 09:10,0,SMB,1425.69,0
153,Thomas,Lee,dillonpatrick@example.com,(702)423-5697x25217,Germany,North Shannonborough,22600,22-02-2022 19:55,1,SMB,16455.5,1
154,Kathy,Burns,andersonryan@example.com,(267)260-0835x0583,Niue,East Heather,45635,11-06-2026 00:09,0,Enterprise,17836.92,0
155,David,Reyes,gary04@example.com,889.285.6257x532,Denmark,Lake Traci,28182,12-03-2024 04:58,1,Retail,14689.22,0
156,Brittany,Jackson,jennifer06@example.net,889-309-0100x167,Mexico,Thomasberg,27435,22-09-2021 15:39,1,Enterprise,15504.1,0
157,Kevin,Stanley,cindy26@example.org,891.641.1739x34835,Central African Republic,New Tylerborough,90705,14-08-2021 11:29,0,Enterprise,5404.49,0
158,Mark,Smith,meadowsmary@example.net,321.481.1437x4470,Tunisia,Port Kellymouth,56337,17-08-2025 22:35,0,Retail,5614.62,0
159,Cody,Chang,smithdevon@example.net,(455)379-4155,Iran,Riversview,51057,11-07-2022 15:53,0,Enterprise,12226.12,0
160,Lauren,Banks,danielhorton@example.org,(816)797-9729,New Zealand,Port Gabrielleberg,63819,10-08-2025 10:13,1,SMB,3677.71,1
161,Daniel,Jenkins,browndiana@example.org,001-989-793-5889x163,Panama,Hernandezside,80836,10-09-2025 02:45,0,SMB,5629.19,0
162,Alexander,Michael,kchristian@example.org,001-975-935-4083x86631,Spain,Millerfort,59099,02-01-2022 02:25,0,Enterprise,252.51,0
163,David,Jimenez,garciarobert@example.net,-6582,Haiti,Port Jeffreymouth,44013,24-03-2024 12:56,1,Enterprise,8158.24,0
164,Katrina,Greene,jennifer11@example.net,205.454.8851,Lithuania,Port Jennifer,95077,21-04-2026 21:33,1,SMB,12935.76,0
165,Daniel,Carr,davidphelps@example.org,435.916.0917x798,Albania,New Savannahshire,63799,07-01-2025 22:39,0,Retail,5920,0
166,Kimberly,Kent,jessicaanderson@example.com,+1-499-458-6693x46547,Isle of Man,Meganside,41645,11-11-2025 21:44,1,Enterprise,11652.03,0
167,Cynthia,Harris,glenda22@example.net,-9504,Sri Lanka,New Danielfurt,19549,01-04-2026 11:43,0,SMB,19932.8,0
168,Ellen,Gonzalez,tonyavega@example.org,5438805719,Dominica,Heatherton,50515,28-12-2021 10:30,1,SMB,5454.78,1
169,Robert,French,tammy00@example.net,939-473-5989x334,Pitcairn Islands,East Sydneyhaven,16144,01-11-2024 15:51,1,Retail,6345.18,0
170,Billy,Ramirez,david94@example.org,372-702-5909x47985,Malta,East Abigail,66710,30-09-2024 11:37,0,Enterprise,3743.74,1
171,Robert,Herrera,baileynicole@example.net,555-243-9878x01573,Pitcairn Islands,Patrickville,51078,23-11-2022 17:12,0,Enterprise,11812.26,0
172,Amber,Campbell,willie87@example.com,2433581128,Cote d'Ivoire,Port Gina,14122,21-09-2023 18:28,0,Retail,16660.94,1
173,Amanda,Park,elucas@example.net,+1-520-675-0110x24819,Ireland,Hayesfurt,57258,16-04-2023 06:48,1,SMB,332.26,0
174,Andre,Nunez,maychristine@example.net,001-301-658-1449,Serbia,Jamestown,62627,25-03-2024 14:29,1,Retail,11089.51,0
175,Amanda,Taylor,irobles@example.com,+1-824-350-8821x0099,Gambia,Lake Judith,95651,14-11-2022 06:00,1,SMB,2096.62,1
176,Jason,Whitehead,eugenewalker@example.com,612.390.8781,El Salvador,East Jessicafort,43866,18-06-2024 21:07,1,SMB,8837.35,1
177,David,Rios,mitchellchad@example.org,277-759-4929x95562,Egypt,Lake Jodi,57664,30-07-2024 03:51,1,SMB,2326.04,1
178,Mary,Taylor,natalie77@example.com,001-347-281-2914x28341,Thailand,Port Bonniefurt,77838,23-11-2023 04:25,0,Enterprise,12607.44,1
179,Rebecca,Arnold,jvaldez@example.com,(539)442-7881x6580,Saudi Arabia,South Erik,74734,08-05-2023 14:16,1,Enterprise,18985.06,1
180,Donna,Faulkner,ccrosby@example.org,001-273-214-5303x85677,Pakistan,Dakotahaven,83543,09-05-2026 11:43,1,Enterprise,15300.65,0
181,Mary,Baker,nicholasgray@example.net,+1-218-446-3865x5779,Kazakhstan,East Chris,84842,13-11-2023 06:58,0,Retail,15525.09,0
182,Jason,Lopez,carolyn13@example.com,417-477-3926x03029,Norfolk Island,New Dylanburgh,34351,06-12-2023 00:21,0,SMB,17210.32,0
183,Zachary,Sullivan,johnsjessica@example.com,437-497-7236,Nigeria,Garymouth,59938,26-01-2023 22:15,1,Enterprise,1251.59,0
184,Jerry,Cruz,smithalexandra@example.net,+1-962-491-2799x08811,United Arab Emirates,Port Erikachester,68926,15-02-2022 10:59,1,Retail,12529.02,1
185,Mitchell,Williams,zperez@example.com,001-865-699-1624x73149,Comoros,Lake Juliatown,76258,12-02-2025 14:09,1,Retail,3517.58,1
186,David,Smith,gwendolynstewart@example.com,726-694-4869,Pitcairn Islands,Fischerchester,72866,26-12-2025 01:08,1,SMB,13802.95,0
187,Timothy,Wood,tking@example.net,(262)413-7213x865,Iceland,Port Christopherberg,62323,13-04-2026 20:34,1,SMB,14153.77,0
188,Christopher,Baker,christopher06@example.com,+1-584-290-2770x384,Slovenia,New Gavin,5227,30-03-2025 05:47,0,Enterprise,4706.8,1
189,John,Smith,christopherhill@example.com,(766)793-8011x848,Suriname,Jeremyborough,60107,07-08-2024 05:50,0,Enterprise,13240.6,0
190,Bailey,Green,jhunter@example.org,745.918.4894x76973,Pitcairn Islands,Mosleytown,63673,22-12-2024 14:51,0,Enterprise,4534.95,1
191,Jonathan,Reyes,ericahall@example.com,(958)780-4341x65182,Guinea,New Joseph,98301,12-07-2022 19:16,1,Retail,1474.63,1
192,Victor,Gonzalez,moniqueclark@example.org,295.221.1179,Thailand,Watsonmouth,65033,27-02-2023 09:36,1,Enterprise,16493.59,0
193,Misty,Henry,raymond92@example.org,267.280.8562x71875,Peru,South Bianca,43156,05-06-2026 12:57,0,SMB,13789.13,0
194,Chloe,Green,joel79@example.com,(427)563-6556x472,Suriname,Lake Josephbury,73290,13-08-2024 00:42,0,Enterprise,10822.63,0
